time,num_replies,num_likes,num_retweets,tweet_text
2018-12-29T16:15:20.000Z,393,28.3K,3.5K,"Leaders like Hong Hoang, who mobilized a youth-led movement to create a greener world after becoming the first Vietnamese person to visit Antarctica."
2018-12-29T16:15:19.000Z,343,26.3K,3.6K,"Leaders like Moussa Kondo and Sandor Lederer, who are each doing their part to fight corruption in their native countries of Mali and Hungary. Two people separated by continents but united in their pursuit of a more just, transparent society."
2018-12-29T16:15:18.000Z,439,34.2K,4.9K,"Leaders like Dejah Powell, who started an organization to bring health and wellness resources to communities on the South Side of Chicago, expanding food access and providing people the space and time to take care of themselves."
2018-12-29T16:15:18.000Z,8.3K,379.3K,80.9K,"As the year winds down and we look toward 2019, I’m asking you to make a commitment: find something you want to change in your community and take the first step toward changing it. If you need some inspiration, take a look at some of the young leaders who inspired me this year."
2018-12-28T14:34:43.000Z,9.5K,278.3K,45.9K,"As 2018 draws to a close, I’m continuing the tradition of sharing my year-end lists. It gives me a moment to reflect on the year through the books, movies, and music that I found most thought-provoking, inspiring, or just plain loved. I hope you enjoy it: "
2018-12-25T14:14:37.000Z,24K,907.4K,88.6K,Enjoy the holiday season with the ones you love. Michelle and I wish you a very Merry Christmas!
2018-12-20T20:55:31.000Z,8.2K,199.5K,31.9K,There’s no better time than the holidays to give back to your community. Yesterday I got to do just that at 
2018-12-19T21:48:12.000Z,13.9K,391.2K,63.6K,"Merry Christmas and happy holidays to the extraordinary kids, families, and staff at Children’s National. And thanks for humoring me as your stand-in Santa."
2018-12-15T21:15:39.000Z,5.1K,76.8K,22.6K,Today is the last day of open enrollment. That means it’s the deadline to make sure you and the people you love have health insurance in 2019. So head over to 
2018-12-19T21:48:12.000Z,13.9K,391.2K,63.6K,"Merry Christmas and happy holidays to the extraordinary kids, families, and staff at Children’s National. And thanks for humoring me as your stand-in Santa."
2018-12-15T00:58:26.000Z,3.6K,150.9K,31.9K,Joe is right. Head to 
2018-12-13T04:15:34.000Z,6.9K,210.1K,42.4K,"As Bobby Kennedy taught us, the thing about hope is that it travels through space *and* time, first splashing against the rocks, but eventually breaking down the walls of cruelty and injustice. And if we do our best with the time we’re given, others will take hope in our example."
2018-11-18T23:32:03.000Z,2.4K,89.9K,13.9K,"When someone shares their story, we see the world through their eyes. I’m looking forward to hearing a few from leaders around the world and sharing my own at the "
2018-11-15T16:43:52.000Z,2.6K,89.7K,15.8K,"Our future depends on all our young people, including our boys and young men of color, being able to achieve their dreams. Today, I’m proud to share "
2018-11-13T18:37:35.000Z,9.3K,526.9K,63.2K,"Of course, "
2018-11-12T03:20:49.000Z,6.2K,286.3K,52.9K,"Michelle and I are heartbroken for everybody who’s lost so much in California, and grateful for the heroism of the firefighters who’ve been risking their lives around the clock to save others. Please do what you can to help our fellow Americans in need:"
2018-11-11T16:14:40.000Z,10.8K,657.6K,109.2K,"To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your service and sacrifice. But all of us can do our best to live up to the American values of service, responsibility, generosity, and citizenship that you helped defend."
2018-11-07T16:13:21.000Z,6.3K,318.7K,50K,"Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The change we need won’t come from one election alone – but it is a start. Last night, voters across the country started it."
2018-11-06T16:26:40.000Z,5.1K,170.7K,37.7K,"Today is the day. Today, it’s your turn to raise your voice to change the course of this country for the better. So make it count. Get out there and vote. Go to "
2018-11-05T18:46:31.000Z,2.3K,69K,17.9K,"If you take that power and vote, something powerful happens. Change happens. Hope happens. And with each new step we take in the direction of fairness, and justice, and equality, and opportunity, hope spreads. Go vote!"
2018-11-05T18:46:30.000Z,1.1K,101.5K,25K,"When you vote, you have the power to make it easier for a student to afford college, and harder for a disturbed person to shoot up a classroom. When you vote, you have the power to make sure a family keeps its health insurance."
2018-11-05T18:46:29.000Z,532,59.5K,13.4K,"When you vote, you have the power to protect voting rights. To make sure our criminal justice system treats everyone equally under the law. To strengthen laws that protect women in the workplace from harassment – and make sure they’re paid equally."
2018-11-05T18:46:28.000Z,729,51.3K,11.2K,"When we've been at such crossroads before, Americans have made the right choice. Not because we sat back and waited for history to happen -- but because we marched, and mobilized, and voted. We made history happen."
2018-11-05T18:46:27.000Z,7.8K,503.8K,135.7K,Tomorrow’s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Making sure working families get a fair shake is on the ballot. The character of our country is on the ballot.
2018-11-01T21:20:50.000Z,3.5K,55.2K,21K,"Speaking of preexisting conditions, open enrollment starts today. If you or someone you know needs health care, visit "
2018-11-01T18:32:47.000Z,2.1K,32.7K,8.3K,"Elections matter. You have the power to protect a family’s health care. Make a plan, grab some friends, and vote:"
2018-11-01T18:32:46.000Z,2K,72K,21.3K,"While we're talking about preexisting conditions, the ACA is the law that finally protected your coverage for preexisting conditions.

Those protections and your health care are absolutely at stake on Tuesday. Vote for Democrats who’ll protect them."
2018-10-31T18:20:55.000Z,4.2K,96K,35.2K,Not sure who and what you can vote for? Head over to 
2018-10-11T14:01:16.000Z,3.4K,185.7K,32.6K,I’m so proud of the work 
2018-10-09T03:47:49.000Z,5.1K,321.7K,33.3K,Congratulations to Drew Brees on the all time passing record. Always a class act.
2018-10-03T19:08:58.000Z,18.6K,677.3K,65.4K,"Happy Anniversary, "
2018-10-01T16:46:18.000Z,9.5K,208.3K,45K,"Today, I’m proud to endorse even more Democratic candidates who aren’t just running against something, but for something—to expand opportunity for all of us and to restore dignity, honor, and compassion to public service. They deserve your vote:"
2018-09-29T16:29:29.000Z,2.9K,114K,11K,"From civil servants to organizers, the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities, their countries, and the collective future of Europe and the world. Keep up the good work."
2018-09-25T20:49:10.000Z,10.1K,369.7K,96.8K,"The antidote to government by a powerful few is government by the organized, energized many. This National Voter Registration Day, make sure you're registered, vote early if you can, or show up on November 6. This moment is too important to sit out."
2018-09-14T16:20:47.000Z,3.9K,86.9K,13.1K,"The first class of Obama Fellows is full of leaders like Keith—hardworking, innovative, and dedicated to partnering with their communities to drive transformational change."
2018-09-11T13:52:34.000Z,11.1K,741.5K,132.6K,"We will always remember everyone we lost on 9/11, thank the first responders who keep us safe, and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can’t overcome, and no act of terror can ever change who we are."
2018-09-08T15:00:01.000Z,8.9K,128.6K,53K,NowThis
2018-09-07T15:08:22.000Z,18.1K,258.1K,45.5K,"Today I’m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote, because our democracy depends on it. I hope you'll tune in at 11am CT: "
2018-10-11T14:01:16.000Z,3.4K,185.7K,32.6K,I’m so proud of the work 
2018-09-08T15:00:01.000Z,8.9K,128.6K,53K,NowThis
2018-09-08T15:00:01.000Z,8.9K,128.6K,53K,NowThis
2018-08-29T19:54:41.000Z,11.1K,381.5K,54.3K,Yesterday I met with high school students on Chicago’s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we’re proud of these young people.
2018-06-12T15:09:54.000Z,5.9K,144.8K,12.2K,Congratulations to the 
2018-06-08T16:01:17.000Z,14.7K,1M,225.1K,"“Low plastic stool, cheap but delicious noodles, cold Hanoi beer.” This is how I’ll remember Tony. He taught us about food — but more importantly, about its ability to bring us together. To make us a little less afraid of the unknown. We’ll miss him."
2018-06-01T15:33:58.000Z,7.2K,210K,45.9K,"This National Gun Violence Awareness Day, show your commitment to keeping our kids safe from gun violence. Then, for everyone we’ve lost, take action to change our leadership and our laws until they reflect that commitment - no matter how long it takes."
2018-05-28T16:02:01.000Z,15.2K,574.4K,108.4K,"We can never truly repay the debt we owe our fallen heroes. But we can remember them, honor their sacrifice, and affirm in our own lives those enduring ideals of justice, equality, and opportunity for which generations of Americans have given that last full measure of devotion."
2018-05-23T20:40:01.000Z,5.5K,130K,19K,This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be. Michelle and I are grateful to Chicagoans and the Chicago City Council for making it happen.
2018-05-13T14:32:16.000Z,8.9K,570K,54.3K,"Happy Mother’s Day to every mom out there, especially the remarkable moms in my life, "
2018-05-08T19:40:56.000Z,31.8K,429.9K,124.2K,There are few issues more important to the security of the US than the potential spread of nuclear weapons or the potential for even more destructive war in the Middle East. Today’s decision to put the JCPOA at risk is a serious mistake. My full statement: 
2018-05-02T15:06:53.000Z,1.8K,66.3K,6.8K,Michelle Obama
2018-04-23T19:13:36.000Z,5K,193.8K,28.6K,"These talented young people will create a better future not just in Africa, but around the world. I can’t wait to spend some time with "
2018-04-18T00:44:58.000Z,5.2K,312.7K,47.1K,Our statement on the passing of Former First Lady Barbara Bush:
2018-04-16T11:14:30.000Z,1.5K,28.2K,5.2K,The Obama Foundation
2018-03-12T18:12:41.000Z,2.9K,168K,18.3K,"Four years ago, "
2018-02-28T02:58:41.000Z,6.9K,229.5K,34.7K,"I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want the world to come together on the South Side at a place built with local ideas, values, and hopes. That’s the "
2018-02-22T16:00:44.000Z,31.8K,1.5M,416.3K,"Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless students standing up for their right to be safe; marching and organizing to remake the world as it should be. We've been waiting for you. And we've got your backs."
2018-02-21T16:33:04.000Z,7.5K,245.5K,32.2K,"Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance to generations of Americans."
2018-02-15T17:12:17.000Z,30.7K,1.2M,348.3K,"We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can honestly say that we're doing enough to keep them safe from harm, including long overdue, common-sense gun safety laws that most Americans want, then we have to change."
2018-02-14T16:25:03.000Z,23.4K,1.4M,220.5K,"Happy Valentine’s Day, "
2018-02-14T16:19:48.000Z,3.2K,162.2K,24.4K,Michelle Obama
2018-01-15T14:46:02.000Z,27.5K,1.3M,344.4K,"Dr. King was 26 when the Montgomery bus boycott began. He started small, rallying others who believed their efforts mattered, pressing on through challenges and doubts to change our world for the better. A permanent inspiration for the rest of us to keep pushing towards justice."
2017-12-29T16:11:11.000Z,17.9K,480.4K,107K,"All across America people chose to get involved, get engaged and stand up. Each of us can make a difference, and all of us ought to try. So go keep changing the world in 2018."
2017-12-29T16:10:36.000Z,3.2K,294.5K,45.7K,"Ten-year-old Jahkil Jackson is on a mission to help homeless people in Chicago. He created kits full of socks, toiletries, and food for those in need. Just this week, Jahkil reached his goal to give away 5,000 “blessing bags.” That’s a story from 2017."
2018-02-28T02:58:41.000Z,6.9K,229.5K,34.7K,"I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want the world to come together on the South Side at a place built with local ideas, values, and hopes. That’s the "
2017-12-29T16:10:04.000Z,3.2K,257.4K,62.2K,"Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville, VA. He wanted to do more, so he decided to give away an entire season’s salary. That’s a story from 2017."
2017-12-29T16:09:31.000Z,1.1K,148.9K,22K,"Kat Creech, a wedding planner in Houston, turned a postponed wedding into a volunteer opportunity for Hurricane Harvey victims. Thirty wedding guests became an organization of hundreds of volunteers. That’s a story from 2017."
2017-11-23T14:44:27.000Z,33K,1.3M,195.6K,"From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude."
2017-11-20T19:02:11.000Z,23.3K,1.9M,459.2K,"ME:  Joe, about halfway through the speech, I’m gonna wish you a happy birth--
BIDEN:  IT’S MY BIRTHDAY!
ME:  Joe.
 
Happy birthday to "
2017-11-11T14:51:32.000Z,1.9K,52.5K,8.2K,The Obama Foundation
2017-11-08T13:25:21.000Z,8.2K,409K,67.7K,This is what happens when the people vote. Congrats 
2017-11-07T01:02:17.000Z,4.9K,183.7K,53.9K,Every election matters - those who show up determine our future. Go vote tomorrow!
2017-11-06T00:51:32.000Z,15.8K,484.3K,108.8K,May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.
2017-11-06T00:51:09.000Z,7.3K,518.7K,88.7K,"We grieve with all the families in Sutherland Springs harmed by this act of hatred, and we’ll stand with the survivors as they recover..."
2017-11-01T13:06:59.000Z,10.1K,243.3K,127.1K,"Starting today, you can sign up for 2018 health coverage. Head on over to "
