time,num_replies,num_likes,num_retweets,tweet_text
2020-02-07T10:31:23.000Z,3.9K,53.3K,9.5K,"....he will be successful, especially as the weather starts to warm & the virus hopefully becomes weaker, and then gone. Great discipline is taking place in China, as President Xi strongly leads what will be a very successful operation. We are working closely with China to help!"
2020-02-07T10:31:22.000Z,6.6K,100.5K,17K,"Just had a long and very good conversation by phone with President Xi of China. He is strong, sharp and powerfully focused on leading the counterattack on the Coronavirus. He feels they are doing very well, even building hospitals in a matter of only days. Nothing is easy, but..."
2020-02-05T23:45:32.000Z,26.8K,144.8K,43.1K,Donald J. Trump
2020-02-05T21:49:49.000Z,94K,540.9K,132.6K,Donald J. Trump
2020-02-07T01:17:04.000Z,13.8K,88.1K,21.1K,"“The Senate acquitted President Trump of both charges fabricated by Congressional Democrats, led by Speaker Pelosi and Adam Schiff, to carry out the most egregious and partisan attack against any president in our history - a man they knew to be innocent.” "
2020-02-07T01:16:08.000Z,18.1K,109.3K,22.1K,“This President has done more for African Americans in this Country than any President since Lincoln.” 
2020-02-06T16:16:26.000Z,1.9K,34K,8.6K,Dan Scavino Jr.
2020-02-06T05:31:01.000Z,2.8K,28.8K,9K,Dan Scavino
2020-02-06T04:34:13.000Z,2.5K,44.4K,12.9K,Dan Scavino
2020-02-06T04:13:19.000Z,2.5K,32.1K,8.3K,Dan Scavino
2020-02-06T22:53:27.000Z,46.3K,238.3K,90.4K,5:1311.6M views
2020-02-06T22:53:27.000Z,46.3K,238.3K,90.4K,
2020-02-06T22:32:52.000Z,3.5K,96.2K,17.7K,"Welcome back to Earth, "
2020-02-06T22:11:13.000Z,6.7K,107.2K,20.5K,"Nevada, I hear you on Yucca Mountain and my Administration will RESPECT you! Congress and previous Administrations have long failed to find lasting solutions – my Administration is committed to exploring innovative approaches – I’m confident we can get it done!"
2020-02-06T21:13:35.000Z,5.2K,61.8K,13.4K,So true!
2020-02-06T18:56:47.000Z,11.9K,76.2K,20K,
2020-02-06T05:22:52.000Z,41.8K,199.1K,38.3K,Had failed presidential candidate 
2020-01-31T16:22:33.000Z,530,15K,4.5K,Howie Carr
2020-02-05T22:17:02.000Z,8.2K,47.9K,17.8K,New York Post
2020-02-05T23:45:32.000Z,26.8K,144.8K,43.1K,1:014.9M views
2020-02-05T22:07:04.000Z,65.3K,296.9K,60.2K,I will be making a public statement tomorrow at 12:00pm from the 
2020-02-05T21:49:49.000Z,94K,540.9K,132.6K,0:3051.5M views
2020-02-05T16:30:00.000Z,14K,128.8K,29.3K,Senator Bob Dole
2020-02-05T20:44:31.000Z,23.1K,245.1K,71.6K,2:206.4M views
2020-02-05T15:22:37.000Z,17.6K,142.9K,28.2K,"“The Democrats want to run a Country, and they can’t run a Caucus.” Brad Blakeman "
2020-02-05T03:46:28.000Z,45.6K,234.6K,76.6K,The White House
2020-02-05T13:19:14.000Z,8.6K,104.9K,22.4K,"Thank you Jonathan, and great job!"
2020-02-05T04:25:45.000Z,4.4K,47.9K,12.4K,F. A. Jaeger 
2020-02-05T04:53:16.000Z,4.4K,39.4K,10K,Elizabeth Anne Middleton
2020-02-05T05:01:51.000Z,2.5K,29.7K,7.4K,Mikkelsen
2020-02-05T05:04:29.000Z,2.1K,36.4K,8.3K,@HeelerHoney 
2020-02-05T12:27:31.000Z,2K,35.1K,7.8K,Lionel
2019-11-01T00:08:24.000Z,1.9K,40K,23.3K,Lionel
2020-02-05T13:06:52.000Z,2K,42.6K,9.6K,Carmine Sabia
2020-02-05T12:58:44.000Z,1.3K,33.2K,7.6K,kurt bensch
2020-02-05T13:02:59.000Z,908,24.6K,5.2K,Jon Martin
2020-02-05T12:45:44.000Z,1.1K,24.1K,6.7K,Sauer
2020-02-05T05:59:10.000Z,1.4K,32.6K,10.1K,Star Parker 
2020-02-05T12:10:20.000Z,656,23.7K,5.2K,Ian Miles Cheong
2020-02-05T10:55:35.000Z,1.4K,34.3K,9.4K,Conservative Patriot
2020-02-05T11:43:55.000Z,1.4K,36.3K,10.6K,Sol DeWitt
2020-02-05T10:58:48.000Z,2.1K,52.1K,12.5K,WAYNE ANDREWS
2020-02-05T11:54:03.000Z,1.8K,55.2K,11.8K,Chicks On The Right
2020-02-05T11:19:03.000Z,1.7K,31.7K,5.8K,ErinKateSta
2020-02-05T02:56:31.000Z,1.9K,52.8K,9.7K,Nikki Haley
2020-02-05T04:09:16.000Z,36.5K,177.8K,38.5K,Nikki Haley
2020-02-04T02:31:43.000Z,2.6K,42.6K,9.3K,Lara Trump
2020-02-04T03:02:19.000Z,1.9K,36.7K,9K,Eric Trump
2020-02-04T04:08:02.000Z,879,35.2K,7.8K,Team Trump (#TrumpRallyNH)
